,Product Name,Price,Net,Brand,IMG1,IMG2,IMG3,IMG4,Sold By
1315,"Kit Glass Polish, Removes Water Spots for Crystal Clear Glass",$8.89,170 ML,Kit,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90137811_XL1_20220628.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90137811_BXL1_20220628.jpg?w=108&q=70,None,None,Home Health Beauty
1316,3M Wheel & Tire Cleaner,$22.90,16 OZ,3m,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90134940_XL1_20220606.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90134940_LXL1_20220606.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90134940_BXL1_20220606.jpg?w=108&q=70,None,O'Here!
1317,PowerPac 2 Pieces x 10.5W E27 Vertex LED Bulb Daylight PP6555,$9.90,1 Pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012703_XL1_20220125.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012703_BXL1_20220125.jpg?w=108&q=70,None,None,Powerpac
1318,PowerPac (PP6036) 2 Pieces 6W E27 LED BULB - Warm White,$9.90,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095416_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095416_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095416_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095416_BXL1_20210819.jpg?w=108&q=70,Powerpac
1319,PowerPac (E14/7) 3X Night Light Bulb,$6.90,1 pc,PowerPac (E14/7),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036821_XL1.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036821_BXL1.jpg?w=108&q=70,None,None,Powerpac
1320,PowerPac 25W E27 Vertex LED Bulb Daylight PP6425,$16.90,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012343_XL1_20221125.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012343_BXL1_20221125.jpg?w=108&q=70,None,None,Powerpac
1321,PowerPac (PPC480) Ceiling Lamp Sphere,$32.90,1 pc,PowerPac (PPC480),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036831_XL1_20221124.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036831_BXL1.jpg?w=108&q=70,None,None,Powerpac
1322,PowerPac (PP6034) 2 Pieces 4W E27 LED BULB - Warm White,$7.50,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095418_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095418_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095418_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095418_BXL1_20210819.jpg?w=108&q=70,Powerpac
1323,PowerPac (PP6033) 2 Pieces 4W E14 LED BULB - Warm White,$7.50,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095419_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095419_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095419_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095419_BXL1_20210819.jpg?w=108&q=70,Powerpac
1324,PowerPac (PP6009) 2X LED Bulb,$10.00,1 pc,PowerPac (PP6009),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036803_XL1_20220125.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036803_BXL1_20220125.jpg?w=108&q=70,None,None,Powerpac
1325,PowerPac (PP1303BK) LED Desk Lamp,$24.90,1 pc,PowerPac (PP1303BK),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90029041_XL1_20220510.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90029041_LXL1_20220510.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90029041_BXL1_20220510.jpg?w=108&q=70,None,Powerpac
1326,PowerPac (MC72) LED Night Light,$7.90,1 pc,PowerPac (MC72),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90028989_XL1_20221124.jpg?w=1200&q=70,None,None,None,Powerpac
1327,PowerPac (PP6022) 2 Pieces 2W E27 LED BULB - Warm White,$7.50,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095426_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095426_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095426_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095426_BXL1_20210819.jpg?w=108&q=70,Powerpac
1328,PowerPac (PP6026) 2 Pieces 6W E27 LED BULB - Warm White,$9.90,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095422_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095422_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095422_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095422_BXL1_20210819.jpg?w=108&q=70,Powerpac
1329,PowerPac (PPC280) LED Ceiling Lamp,$23.90,1 pc,PowerPac (PPC280),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036898_XL1_20221124.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90036898_BXL1.jpg?w=108&q=70,None,None,Powerpac
1330,PowerPac (SGB21ES) 2X Bulb Daylight,$16.00,1 pc,PowerPac (SGB21ES),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90030593_XL1_20220125.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90030593_BXL1_20220125.jpg?w=108&q=70,None,None,Powerpac
1331,PowerPac 2 Pieces x 7.5W E27 Vertex LED Bulb Daylight PP6553,$8.90,1 Pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012699_XL1_20220125.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90012699_BXL1_20220125.jpg?w=108&q=70,None,None,Powerpac
1332,PowerPac (SL1208) Cabinet Lamp,$12.00,1 pc,PowerPac (SL1208),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90100655_XL1_20210910.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90100655_LXL1_20210910.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90100655_BXL1_20210910.jpg?w=108&q=70,None,Powerpac
1333,PowerPac (PP2111) 2XLED Bulb B22 DL,$19.90,1 pc,PowerPac (PP2111),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90100647_XL1_20220125.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90100647_BXL1_20220125.jpg?w=108&q=70,None,None,Powerpac
1334,PowerPac (PP6021) 2 Pieces 2W E14 LED BULB - Warm White,$7.50,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095427_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095427_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095427_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095427_BXL1_20210819.jpg?w=108&q=70,Powerpac
1335,PowerPac (PP6035) 2 Pieces 6W E14 LED BULB - Warm White,$9.90,1 pc,Powerpac,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095417_XL1_20210819.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095417_LXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095417_RXL1_20210819.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90095417_BXL1_20210819.jpg?w=108&q=70,Powerpac
